ID_Akun,Kode_Akun,Nama_Akun,Tipe_Akun,Grup_Akun
AK0001,1000,Persediaan Barang,Aset,Non-Operasional
AK0002,1001,Utang Pajak,Liabilitas,Non-Operasional
AK0003,1002,Kas,Aset,Umum
AK0004,1003,Investasi Jangka Panjang,Aset,Non-Operasional
AK0005,1004,Beban Transportasi,Beban,Operasional
AK0006,1005,Utang Sewa,Liabilitas,Operasional
AK0007,1006,Cadangan Umum,Ekuitas,Non-Operasional
AK0008,1007,Utang Dividen,Liabilitas,Non-Operasional
AK0009,1008,Peralatan Kantor,Aset,Non-Operasional
AK0010,1009,Pendapatan Diterima di Muka,Liabilitas,Lainnya
AK0011,1010,Bank,Aset,Lainnya
AK0012,1011,Kendaraan Operasional,Aset,Lainnya
AK0013,1012,Pendapatan Operasional,Pendapatan,Operasional
AK0014,1013,Pendapatan Royalti,Pendapatan,Lainnya
AK0015,1014,Laba Ditahan,Ekuitas,Lainnya
AK0016,1015,Laba Ditahan,Ekuitas,Non-Operasional
AK0017,1016,Pendapatan Penjualan Aset,Pendapatan,Umum
AK0018,1017,Tanah,Aset,Umum
AK0019,1018,Peralatan Kantor,Aset,Umum
AK0020,1019,Peralatan Kantor,Aset,Umum
AK0021,1020,Beban Transportasi,Beban,Lainnya
AK0022,1021,Pendapatan Lain-lain,Pendapatan,Lainnya
AK0023,1022,Utang Gaji,Liabilitas,Operasional
AK0024,1023,Laba Ditahan,Ekuitas,Lainnya
AK0025,1024,Piutang Usaha,Aset,Operasional
AK0026,1025,Kendaraan Operasional,Aset,Lainnya
AK0027,1026,Pendapatan Sewa,Pendapatan,Non-Operasional
AK0028,1027,Beban Internet dan Komunikasi,Beban,Operasional
AK0029,1028,Utang Dagang,Liabilitas,Umum
AK0030,1029,Bank,Aset,Operasional
AK0031,1030,Utang Dividen,Liabilitas,Umum
AK0032,1031,Pendapatan Komisi,Pendapatan,Operasional
AK0033,1032,Cadangan Umum,Ekuitas,Non-Operasional
AK0034,1033,Investasi Jangka Panjang,Aset,Operasional
AK0035,1034,Cadangan Umum,Ekuitas,Lainnya
AK0036,1035,Persediaan Barang,Aset,Umum
AK0037,1036,Cadangan Wajib,Ekuitas,Operasional
AK0038,1037,Ekuitas Lainnya,Ekuitas,Umum
AK0039,1038,Kas,Aset,Lainnya
AK0040,1039,Pendapatan Operasional,Pendapatan,Lainnya
