ID_Unit,Kode_Unit,Nama_Unit,Nama_Fakultas,Tipe_Unit
1,FAC001,Fakultas Sains,Fakultas Sains,Akademik
2,FAC002,Fakultas Teknologi Infrastruktur dan Kewilayahan,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
3,FAC003,Fakultas Teknologi Produksi dan Industri,Fakultas Teknologi Produksi dan Industri,Akademik
4,PROD004,Program Studi Teknik Geomatika,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
5,PROD005,Program Studi Perencanaan Wilayah dan Kota,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
6,PROD006,Program Studi Teknik Sipil,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
7,PROD007,Program Studi Arsitektur,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
8,PROD008,Program Studi Teknik Lingkungan,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
9,PROD009,Program Studi Teknik Kelautan,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
10,PROD010,Program Studi Desain Komunikasi Visual,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
11,PROD011,Program Studi Arsitektur Lanskap,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
12,PROD012,Program Studi Teknik Perkeretaapian,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
13,PROD013,Program Studi Rekayasa Tata Kelola Air Terpardu,Fakultas Teknologi Infrastruktur dan Kewilayahan,Akademik
14,PROD014,Program Studi Teknik Elektro,Fakultas Teknologi Produksi dan Industri,Akademik
15,PROD015,Program Studi Teknik Geofisika,Fakultas Teknologi Produksi dan Industri,Akademik
16,PROD016,Program Studi Teknik Informatika,Fakultas Teknologi Produksi dan Industri,Akademik
17,PROD017,Program Studi Teknik Geologi,Fakultas Teknologi Produksi dan Industri,Akademik
18,PROD018,Program Studi Teknik Mesin,Fakultas Teknologi Produksi dan Industri,Akademik
19,PROD019,Program Studi Teknik Industri,Fakultas Teknologi Produksi dan Industri,Akademik
20,PROD020,Program Studi Teknik Kimia,Fakultas Teknologi Produksi dan Industri,Akademik
