ID_Vendor,Kode_Vendor,Nama_Vendor,Kategori_Vendor,Kota
VN0001,V7675,UD Solusi Sejahtera,Keuangan,Surabaya
VN0002,V7087,PT Global Indo,Jasa,Yogyakarta
VN0003,V8660,CV Techno Indo,Keuangan,Jakarta
VN0004,V0764,PT Mandiri Indo,Jasa,Bandung
VN0005,V8335,PT Global Maju Bersama,Konsumsi,Palembang
VN0006,V9230,UD Cakra Abadi,IT,Denpasar
VN0007,V1291,CV Solusi Indo,Konsumsi,Medan
VN0008,V4042,UD Nusantara Maju Bersama,Logistik,Surabaya
VN0009,V4874,PT Techno Abadi,Jasa,Makassar
VN0010,V2245,PT Nusantara Maju Bersama,Jasa,Medan
VN0011,V2782,PT Nusantara Sejahtera,IT,Yogyakarta
VN0012,V8392,UD Prima Abadi,Konsumsi,Medan
VN0013,V4411,PT Nusantara Maju Bersama,Jasa,Surabaya
VN0014,V0291,PT Mandiri Maju Bersama,Konsumsi,Surabaya
VN0015,V8079,CV Global Jaya,Logistik,Yogyakarta
VN0016,V6784,CV Solusi Indo,Jasa,Yogyakarta
VN0017,V9282,UD Mandiri Indo,Logistik,Palembang
VN0018,V6961,UD Global Maju Bersama,Konsumsi,Bandung
VN0019,V8102,PT Techno Abadi,Keuangan,Denpasar
VN0020,V0181,CV Cakra Abadi,IT,Palembang
VN0021,V8740,PT Cakra Sejahtera,Logistik,Yogyakarta
VN0022,V8045,PT Cakra Maju Bersama,Keuangan,Surabaya
VN0023,V4182,UD Cakra Jaya,Jasa,Jakarta
VN0024,V0200,UD Techno Sejahtera,Keuangan,Medan
VN0025,V0220,PT Solusi Jaya,Keuangan,Bandung
VN0026,V6261,CV Prima Maju Bersama,Keuangan,Denpasar
VN0027,V6475,CV Global Sejahtera,IT,Surabaya
VN0028,V7521,UD Nusantara Abadi,IT,Palembang
VN0029,V4518,CV Sentosa Jaya,Konsumsi,Jakarta
VN0030,V6377,UD Solusi Maju Bersama,Logistik,Makassar
VN0031,V0685,PT Solusi Maju Bersama,Keuangan,Palembang
VN0032,V8536,PT Techno Maju Bersama,Logistik,Bandung
VN0033,V2087,UD Prima Abadi,Konsumsi,Bandung
VN0034,V7295,UD Prima Maju Bersama,Konsumsi,Medan
VN0035,V0253,CV Mandiri Maju Bersama,Keuangan,Surabaya
VN0036,V1681,CV Global Indo,Konsumsi,Makassar
VN0037,V3897,PT Prima Jaya,Keuangan,Denpasar
VN0038,V8521,CV Solusi Abadi,Keuangan,Bandung
VN0039,V9326,CV Prima Jaya,Jasa,Yogyakarta
VN0040,V1054,PT Prima Sejahtera,Konsumsi,Bandung
VN0041,V8682,CV Techno Jaya,IT,Surabaya
VN0042,V1813,CV Sentosa Maju Bersama,Konsumsi,Bandung
VN0043,V4067,PT Sentosa Abadi,Keuangan,Bandung
VN0044,V8781,CV Sentosa Jaya,IT,Bandung
VN0045,V7311,PT Cakra Abadi,IT,Yogyakarta
VN0046,V2496,PT Solusi Jaya,Konsumsi,Denpasar
