ID_Waktu,Tanggal,Tahun,Kuartal,Bulan,Hari_Kerja_Flag
1,06-01-2021,2021,Q1,January,Ya
2,10-01-2021,2021,Q1,January,Tidak
3,13-01-2021,2021,Q1,January,Ya
4,16-01-2021,2021,Q1,January,Tidak
5,19-01-2021,2021,Q1,January,Ya
6,21-01-2021,2021,Q1,January,Ya
7,27-01-2021,2021,Q1,January,Ya
8,02-02-2021,2021,Q1,February,Ya
9,05-02-2021,2021,Q1,February,Ya
10,10-02-2021,2021,Q1,February,Ya
11,21-02-2021,2021,Q1,February,Tidak
12,25-02-2021,2021,Q1,February,Ya
13,28-02-2021,2021,Q1,February,Tidak
14,04-03-2021,2021,Q1,March,Ya
15,07-03-2021,2021,Q1,March,Tidak
16,08-03-2021,2021,Q1,March,Ya
17,16-03-2021,2021,Q1,March,Ya
18,24-03-2021,2021,Q1,March,Ya
19,25-03-2021,2021,Q1,March,Ya
20,17-04-2021,2021,Q2,April,Tidak
21,25-04-2021,2021,Q2,April,Tidak
22,26-04-2021,2021,Q2,April,Ya
23,30-04-2021,2021,Q2,April,Ya
24,01-05-2021,2021,Q2,May,Tidak
25,07-05-2021,2021,Q2,May,Ya
26,09-05-2021,2021,Q2,May,Tidak
27,10-05-2021,2021,Q2,May,Ya
28,17-05-2021,2021,Q2,May,Ya
29,21-05-2021,2021,Q2,May,Ya
30,29-05-2021,2021,Q2,May,Tidak
31,02-06-2021,2021,Q2,June,Ya
32,06-06-2021,2021,Q2,June,Tidak
33,07-06-2021,2021,Q2,June,Ya
34,09-06-2021,2021,Q2,June,Ya
35,10-06-2021,2021,Q2,June,Ya
36,11-06-2021,2021,Q2,June,Ya
37,13-06-2021,2021,Q2,June,Tidak
38,05-07-2021,2021,Q3,July,Ya
39,06-07-2021,2021,Q3,July,Ya
40,19-07-2021,2021,Q3,July,Ya
41,03-08-2021,2021,Q3,August,Ya
42,11-08-2021,2021,Q3,August,Ya
43,24-08-2021,2021,Q3,August,Ya
44,28-08-2021,2021,Q3,August,Tidak
45,29-08-2021,2021,Q3,August,Tidak
46,31-08-2021,2021,Q3,August,Ya
47,02-09-2021,2021,Q3,September,Ya
48,11-09-2021,2021,Q3,September,Tidak
49,13-09-2021,2021,Q3,September,Ya
50,22-09-2021,2021,Q3,September,Ya
51,24-09-2021,2021,Q3,September,Ya
52,01-10-2021,2021,Q4,October,Ya
53,02-10-2021,2021,Q4,October,Tidak
54,04-10-2021,2021,Q4,October,Ya
