ID_Fakta_Trans,ID_Waktu,ID_Akun,ID_Unit,ID_Vendor,ID_Sumber,ID_Transaksi_OT,Nilai_Debit,Nilai_Kredit
1,1,1,1,VN00001,1,TRX00001,0.0,663142385.31
2,2,2,2,VN00002,2,TRX00002,286139334.95,0.0
3,3,3,3,VN00003,3,TRX00003,0.0,823654384.23
4,4,4,4,VN00004,4,TRX00004,551314769.08,0.0
5,5,5,5,VN00005,5,TRX00005,0.0,175591020.63
6,6,6,6,VN00006,6,TRX00006,423106460.12,0.0
7,7,7,7,VN00007,7,TRX00007,0.0,677608982.63
8,8,8,8,VN00008,8,TRX00008,684829738.58,0.0
9,9,9,9,VN00009,9,TRX00009,480931901.48,0.0
10,10,10,10,VN00010,10,TRX00010,0.0,352960278.62
11,11,11,11,VN00011,11,TRX00011,0.0,366589745.21
12,12,12,12,VN00012,12,TRX00012,0.0,545974303.77
13,13,13,13,VN00013,13,TRX00013,0.0,497147901.42
14,14,14,14,VN00014,14,TRX00014,59677896.61,0.0
15,15,15,15,VN00015,15,TRX00015,0.0,908374827.74
16,16,16,16,VN00016,16,TRX00016,737995405.73,0.0
17,17,17,17,VN00017,17,TRX00017,0.0,149207001.0
18,18,18,18,VN00018,18,TRX00018,0.0,91953763.23
19,19,19,19,VN00019,19,TRX00019,0.0,126036195.51
20,20,20,20,VN00020,20,TRX00020,0.0,474663386.01
21,21,21,21,VN00021,21,TRX00021,634400958.55,0.0
22,22,22,22,VN00022,22,TRX00022,849431794.08,0.0
23,23,23,23,VN00023,23,TRX00023,724455324.86,0.0
24,24,24,24,VN00024,24,TRX00024,611023510.68,0.0
25,25,25,25,VN00025,25,TRX00025,722443382.57,0.0
26,26,26,26,VN00026,26,TRX00026,322958913.85,0.0
27,27,27,27,VN00027,27,TRX00027,361788655.62,0.0
28,28,28,28,VN00028,28,TRX00028,0.0,66279440.59
29,29,29,29,VN00029,29,TRX00029,0.0,265780091.88
30,30,30,30,VN00030,30,TRX00030,0.0,124728253.96
31,31,31,31,VN00031,31,TRX00031,92104939.95,0.0
32,32,32,32,VN00032,32,TRX00032,433701172.68,0.0
33,33,33,33,VN00033,33,TRX00033,430862763.33,0.0
34,34,34,34,VN00034,34,TRX00034,493685097.65,0.0
35,35,35,35,VN00035,35,TRX00035,0.0,296256190.69
36,36,36,36,VN00036,36,TRX00036,312261222.97,0.0
37,37,37,37,VN00037,37,TRX00037,426351306.96,0.0
38,38,38,38,VN00038,38,TRX00038,0.0,724324898.83
39,39,39,39,VN00039,39,TRX00039,944160018.2,0.0
40,40,40,40,VN00040,40,TRX00040,501836675.88,0.0
41,41,41,41,VN00041,41,TRX00041,0.0,284227408.0
42,42,42,42,VN00042,42,TRX00042,0.0,273274042.69
43,43,43,43,VN00043,43,TRX00043,317285481.82,0.0
44,44,44,44,VN00044,44,TRX00044,414826211.95,0.0
45,45,45,45,VN00045,45,TRX00045,0.0,976117480.11
46,46,46,46,VN00046,46,TRX00046,250455365.4,0.0
47,47,47,47,VN00047,47,TRX00047,0.0,206248322.6
48,48,48,48,VN00048,48,TRX00048,985559785.61,0.0
49,49,49,49,VN00049,49,TRX00049,0.0,635474693.19
50,50,50,50,VN00050,50,TRX00050,612894525.76,0.0
51,51,51,51,VN00051,51,TRX00051,120628665.99,0.0
52,52,52,52,VN00052,52,TRX00052,826340800.51,0.0
53,53,53,53,VN00053,53,TRX00053,603060128.41,0.0
54,54,54,54,VN00054,54,TRX00054,0.0,131555135.37
55,55,55,55,VN00055,55,TRX00055,342763833.77,0.0
56,56,56,56,VN00056,56,TRX00056,0.0,924946351.85
57,57,57,57,VN00057,57,TRX00057,417022211.02,0.0
58,58,58,58,VN00058,58,TRX00058,681300765.79,0.0
59,59,59,59,VN00059,59,TRX00059,875456841.8,0.0
60,60,60,60,VN00060,60,TRX00060,510422337.48,0.0
61,61,61,61,VN00061,61,TRX00061,669313782.96,0.0
62,62,62,62,VN00062,62,TRX00062,0.0,69486849.96
63,63,63,63,VN00063,63,TRX00063,0.0,356628205.85
64,64,64,64,VN00064,64,TRX00064,0.0,630191187.91
65,65,65,65,VN00065,65,TRX00065,842342437.62,0.0
66,66,66,66,VN00066,66,TRX00066,0.0,298872117.88
67,67,67,67,VN00067,67,TRX00067,0.0,348675366.78
68,68,68,68,VN00068,68,TRX00068,243666374.54,0.0
69,69,69,69,VN00069,69,TRX00069,194222960.58,0.0
70,70,70,70,VN00070,70,TRX00070,572456957.49,0.0
71,71,71,71,VN00071,71,TRX00071,0.0,546748070.4
72,72,72,72,VN00072,72,TRX00072,0.0,400990346.44
73,73,73,73,VN00073,73,TRX00073,627248972.05,0.0
74,74,74,74,VN00074,74,TRX00074,723416358.19,0.0
75,75,75,75,VN00075,75,TRX00075,16129206.7,0.0
76,76,76,76,VN00076,76,TRX00076,594431879.45,0.0
77,77,77,77,VN00077,77,TRX00077,556785192.39,0.0
78,78,78,78,VN00078,78,TRX00078,0.0,738986077.41
79,79,79,79,VN00079,79,TRX00079,153070515.12,0.0
80,80,80,80,VN00080,80,TRX00080,695529528.77,0.0
81,81,81,81,VN00081,81,TRX00081,318766426.38,0.0
82,82,82,82,VN00082,82,TRX00082,0.0,892686749.79
83,83,83,83,VN00083,83,TRX00083,0.0,465193573.59
84,84,84,84,VN00084,84,TRX00084,388950574.12,0.0
85,85,85,85,VN00085,85,TRX00085,925132489.61,0.0
86,86,86,86,VN00086,86,TRX00086,841669996.91,0.0
87,87,87,87,VN00087,87,TRX00087,357397566.68,0.0
88,88,88,88,VN00088,88,TRX00088,43591463.8,0.0
89,89,89,89,VN00089,89,TRX00089,0.0,975002519.65
90,90,90,90,VN00090,90,TRX00090,0.0,78829955.37
91,91,91,91,VN00091,91,TRX00091,0.0,990449689.33
92,92,92,92,VN00092,92,TRX00092,0.0,702200436.66
93,93,93,93,VN00093,93,TRX00093,355914865.72,0.0
94,94,94,94,VN00094,94,TRX00094,0.0,477522525.84
95,95,95,95,VN00095,95,TRX00095,593176916.56,0.0
96,96,96,96,VN00096,96,TRX00096,0.0,572595017.34
97,97,97,97,VN00097,97,TRX00097,151127452.35,0.0
98,98,98,98,VN00098,98,TRX00098,0.0,465015437.18
99,99,99,99,VN00099,99,TRX00099,0.0,821487317.27
100,100,100,100,VN00100,100,TRX00100,343456014.05,0.0
101,101,101,101,VN00101,101,TRX00101,0.0,604660409.58
102,102,102,102,VN00102,102,TRX00102,0.0,15936612.76
103,103,103,103,VN00103,103,TRX00103,0.0,85061802.49
104,104,104,104,VN00104,104,TRX00104,0.0,951357814.04
105,105,105,105,VN00105,105,TRX00105,321980606.47,0.0
106,106,106,106,VN00106,106,TRX00106,661564336.67,0.0
107,107,107,107,VN00107,107,TRX00107,846506225.27,0.0
108,108,108,108,VN00108,108,TRX00108,553257344.8,0.0
